ISBN	title	edition	author
321227573	 College Algebra	2	Sir Walter Scott
321228170	 Basic Mathematics Through Applications	2	WG Sebald
321236858	 Fundamentals Of Investing & Otis Access Kit Package	2	Will Self
321236874	 Principles Of Risk Management And Insurance	2	Maurice Sendak
321267613	 Principles of Managerial Finance	2	Dr Seuss
321270762	 Technical Communication	2	William Shakespeare
321278801	 Macroeconomics	2	Shaun Tan
321278844	 International Economics_ Theory And Policy	2	Mary Shelley
321280296	 Financial Markets and Institutions	2	Carol Shields
032128030X	 Derivatives Markets	2	Lionel Shriver
321287134	 Linear Algebra And It's Applications	2	Alan Sillitoe
321293835	 International Economics_ Theory And Policy	2	Georges Simenon
321295358	 Algorithm Design	2	Posy Simmonds
321305035	 Modern Labor Economics	2	Francesca Simon
321305043	 Environmental and Natural Resource Economics	2	Iain Sinclair
321322134	 Data Structures & Problem Solving Using Java	2	Lemn Sissay
321330234	 Absolute C++	2	Edith Sitwell
321330250	 Concepts of Programming Languages	2	Robert Skidelsky
321357965	 Multinational Business Finance	2	Jane Smiley
321369572	 Fundamentals of Database Systems	2	Ali Smith
321389514	" The Little, Brown Handbook"	2	Tom Rob Smith
321409493	 Java Software Solutions_ Foundations of Program Design	2	Wilbur Smith
323018874	 Contemporary Oral and Maxillofacial Surgery	2	Zadie Smith
323024491	 Handbook Of Local Anesthesia_ Local Anesthesia Administration DVD Package	2	Andrew Solomon
323025862	 Fundamentals Of Nursing	2	Aleksandr Solzhenitsyn
323025935	 Wong's Essentials Of Pediatric Nursing	2	Wole Soyinka
324007515	 The Management of Business Logistics_ A Supply Chain Perspective	2	Muriel Spark
324066856	 Operations Management	2	Art Spiegelman
324171889	 Principles of Microeconomics	2	Edward St Aubyn
324174616	 Principles of Microeconomics	2	John Steinbeck
324188005	 Accounting	2	Gloria Steinem
324200145	 The Labor Relations Process	2	Laurence Sterne
324201605	 Marketing Research with Infortrac_ Methodological Foundations	2	Robert Louis Stevenson
324202237	 Management and Control of Quality	2	Kathryn Stockett
032420485X	 Legal Environment of Business	2	Sue Townsend
324204884	" Business_ Its Legal, Ethical And Global Environment"	2	Graham Swift
324205643	 Economics_ Private and Public Choice	2	Jonathan Swift
324221134	 Economics_ Principles And Policy	3	Nassim Nicholas Taleb
032422155X	 Marketing with Infotrac	3	Raymond Tallis
324223048	 Business Communication_ Process and Product	3	Alfred Tennyson
324223102	 Auditing_ Concepts for a Changing Environment	3	Studs Terkel
324224702	" Organizational Behavior with Infotrac_ Foundations, Reality & Challenges"	3	Ngugi wa Thiong'o
324225814	 Business and Society_ Ethics and Stakeholder Management	3	Dylan Thomas
324226128	 Small Business Management with Infotrac_ An Entrepreneurial Emphasis	3	Hunter S Thompson
324226292	 Auditing and Assurance Services	3	Rupert Thomson
324233108	 Cost Management_ Accounting And Control	3	Colm Tóibín
324233434	 Small Business_ An Entrepreneur's Business Plan	3	JRR Tolkien
324235011	 Cost Accounting_ Foundations and Evolutions	3	Leo Tolstoy
032423662X	 Economics	3	Tom McCarthy
324236700	 Microeconomics	3	Claire Tomalin
324236735	 Contemporary Marketing with Infotrac	3	Justin Torres
324258755	 Essentials of Managerial Finance with Infotrac	3	William Trevor
324259131	 Management_ Meeting and Exceeding Customer Expectations	3	Hugh Trevor-Roper
324259689	 Financial Management/infotrac_ Theory and Practice	3	Anthony Trollope
324259913	 International Business With Infotrac	3	TS Eliot
324260601	 Organization Development and Change/with infotrac	3	Christos Tsiolkas
324260768	 Practical Financial Management With Infotrac	3	Mark Twain
324261276	 The Leadership Experience With Infotrac	3	David Uberti
324270860	 Microeconomic Theory with Infotrac_ Basic Principles and Extensions	3	Barry Unsworth
324288417	 International Financial Management	3	John Updike
032428845X	 Financial Markets And Institutions	3	Mario Vargas Llosa
324288522	 Global Strategy with Infotrac	3	Virgil
324288603	 Economics_ A Contemporary Introduction	3	Francois Marie Arouet de Voltaire
032428893X	 Managerial Economics	3	Kurt Vonnegut
324289030	 Investment Analysis And Portfolio Management	3	Derek Walcott
324289081	 Contemporary Financial Management	3	Alice Walker
324289235	 Entrepreneurial Finance	3	David Foster Wallace
324289278	 Bank Management	3	Natasha Walter
324289561	 Advertising And Integrated Brand Promotion with Infotrac	3	Joseph Wambaugh
324289588	 Human Resource Management	3	Jesmyn Ward
324289782	324289782	3	Alan Warner
032428991X	 Managing Human Resources Through Strategic Partnerships	3	Sarah Waters
032430160X	 Fraud Examination	3	Evelyn Waugh
324302592	 Management_ Changes for Tomorrow's Leaders	3	Fay Weldon
324303904	 West's Business Law_ With Online Legal Research Guide	3	HG Wells
324314639	 Managing Human Resources- With Infotrac	3	Irvine Welsh
324316240	 Supervision_ Concepts And Practices of Management	3	Edith Wharton
324316593	 Management With Infotrac	3	Edmund White
324316941	 Strategic Managemnt_ Concepts And Cases- With Infotrac	3	Oscar Wilde
324317980	 Management with Infotrac	3	Hugo Williams
324319789	 Human Resource Development	3	Tennessee Williams
324319835	" Fundamentals of Financial Management, Concise Edition + Thomson One - Business School Edition And Tvm Card"	3	Jacqueline Wilson
324320892	 Contemporary Business 2006	3	Jeanette Winterson
324321430	324321430	3	PG Wodehouse
324323638	 Organizational Behavior	3	Naomi Wolf
324376332	 Statistics for Management And Economics	3	Tom Wolfe
324400829	 Data Analysis & Decision Making With Infotrac	3	Mary Wollstonecraft
324405421	 Organization Theory And Design	3	Virginia Woolf
393924092	393924092	3	William Wordsworth
393924963	 Managerial Economics	3	John Wyndham
393925536	 Introduction to Sociology	3	Diana Wynne Jones
393927024	 Intermediate Microeconomics_  A Modern Approach	3	Xinran
393970833	 Statistics	3	WB Yeats
393975150	 Macroeconomics	3	Slavoj Zizek
393977765	 The Norton Field Guide To Writing	3	Emile Zola
393978796	 The Enjoyment of Music_ An Introduction to Perceptive Listening	3	"Eager, Edward"
393979059	" The Norton Anthology of American Literature, 1820-1865"	3	"Eagle, Kathleen"
393979962	 The Personality Puzzle	3	"Eakins, Patricia"
395977274	 Geometry	3	"Ealey, Mark"
443100349	 Biochemistry Illustrated_ Biochemistry And Molecular Biology In The Post-genomic Era	3	"Earl, Robert"
471000779	 Process Dynamics and Control	3	"Earley, Tony"
471120626	 Stochastic Processes	3	"Earls, William"
471134767	 Automatic Control Systems	3	"Early, Jack"
471144487	471144487	3	"Early, Margot"
471152323	 Fundamentals of Thermodynamics	3	"Earnshaw, Fenton W."
471153680	 Medical Instrumentation_ Application and Design	3	"Easley, MaryAnn"
471198269	 Mathematical Methods in the Physical Sciences	3	"Eason, Alethea"
471202312	 Introduction to Fluid Mechanics	3	"Eason, Lynette"
047123009X	 Government and Not-For-Profit Accounting_ Concepts and Practices	3	"East, Stella"
471232319	 Fundamentals of Physics_ Extended	3	"Easter, George A."
471272140	 Probability and Stochastic Processes_ A Friendly Introduction for Electrical and Computer Engineers	3	"Easterling, P. E."
471274712	 Fundamentals of Engineering Thermodynamics	3	"Easterman, Daniel"
471321680	 Analysis and Design of Analog Integrated Circuits	3	"Eastlake, Amy"
471348066	 Systems Analysis and Design With Uml Version 2.0_ An Object-Oriented Approach	3	"Eastman, P. D."
471393622	 Spectrometric Identification of Organic Compounds	3	"Easton, M. Coleman"
471410772	 Transport Phenomena	3	"Easton, Thomas"
471413895	 Facilities Planning	3	"Eastwood, James"
047141526X	 Introduction To Solid State Physics	3	"Ebbs, Paul"
471417998	 Organic Chemistry	3	"Ebbutt, Maude"
471420840	 Microbiology_ Principles and Explorations	3	"Ebeling, Elisabeth"
471433373	 Elementary Numerical Analysis	3	"Eberhart, Mignon G."
471433381	 Elementary Differential Equations and Boundary Value Problems	3	"Eberhart, Richard"
047143339X	 Elementary Differential Equations	3	"Ebershoff, David"
471445770	 Control Systems Engineering	3	"Eberts, Max"
471445932	 Theory And Design For Mechanical Measurements	3	"Ebner, Jeannie"
471450073	 Cognition	3	"Ebner-Eschenbach, Marie von"
471465801	 Cell and Molecular Biology_ Concepts and Experiments	3	"Eccles, Marjorie"
471470155	" Heating, Ventilating, and Air Conditioning_ Analysis and Design"	3	"Echegaray, José"
471487287	 Basic Engineering Circuit Analysis	3	"Echlin, Kim"
047148735X	 Design And Analysis Of Experiments	3	"Eckart, Gabriele"
471488852	 Advanced Engineering Mathematics	3	"Eckert, Allan W."
471563374	 Foundations of Multinational Financial Management	3	"Eckert, Horst"
471655279	 Financial Accounting	3	"Ecklar, Julia"
471656313	 Introduction to Statistical Quality Control	3	"Eco, Umberto"
471661775	 Fundamentals Of Machine Component Design	3	"Eddings, David"
471661783	 Managerial Accounting_ Tools For Business Decision Making	3	"Eddings, Leigh"
471662933	 Mathematics for Elementary Teachers_ A Contemporary Approach	3	"Eddington, Arthur"
471663158	 Physics	3	"Eddison, E.R."
471675822	 Fundamentals of Fluid Mechanics	3	"Eddy, Jeff"
471681709	 Organizational Behavior	3	"Eddy, Paul"
471684767	 Marketing Research Essentials	3	"Edelman, David Louis"
471689343	 Principles Of Anatomy And Physiology	3	"Edelman, Lily"
471692093	 Operations Management	3	"Edelman, Scott"
471692387	 Abnormal Psychology	3	"Edelstein, Terese"
471694665	 Operating System Concepts	3	"Edens, Cooper"
471705225	 Information Technology For Management_ Transforming Organizations In The Digital Economy	3	"Kaaberbol, Lene"
471715379	 Project Management_ A Managerial Approach	3	"Kabak, Carrie"
471730424	 Introduction to Electric Circuits	3	"Kabir,"
471730513	 Financial Accounting_ Tools For Business Decision Making	3	"Kadare, Ismail"
471736368	 Introduction to Information Systems	3	"Kadmon, Cristina"
471736961	 Materials Science and Engineering_ An Introduction	3	"Kadohata, Cynthia"
471737690	 Multinational Financial Management	3	"Kadow, Jeannine"
471749559	 Intermediate Accounting	3	"Kadrey, Richard"
471755303	 Introductory Statistics_ Using Technolygy	3	"Kaewert, Julie"
495005614	 Sociology_ A Global Perspective	3	"Kafka, Franz"
495011622	 Meteorology Today	3	"Kagai,"
495012033	 Fundamentals of Organic Chemistry	3	"Kagan, Janet"
495015997	495015997	3	"Kagan, Norman"
495031283	 Essentials of Abnormal Psychology	3	"Kagesaki, Yuna"
495093254	 The Practice of Social Research	3	"Kahf, Mohja"
495187062	 World Politics_ Trend And Transformation	3	"Kahlau, Heinz"
521370957	 The Art of Electronics	3	"Kahn, James"
534209106	 Applied Regression Analysis and Other Multivariable Methods	3	"Kahn, Michael A."
534229026	 Principles of Biostatistics	3	"Kahn, William B."
534359450	 Discrete Mathematics With Applications With Infotrac	3	"Kahn, Wilma"
534378048	 Fundamentals of Logic Design	3	"Kaiga,"
534380581	 Operations Research With Infotrac_ Applications and Algorithms	3	"Kaiko, Takeshi"
534387438	 Traffic and Highway Engineering	3	"Kaip, Günther"
534389996	 Organic Chemistry With Infotrac	3	"Kaiser, Ernst"
534392008	 Numerical Analysis with ILRN	3	"Kaiser, Georg"
053439339X	 Calculus	3	"Kaiser, Gloria"
534399339	 Probability and Statistics for Engineering and the Sciences With Infotrac	3	"Kaiser, R.J."
534405215	 Biochemistry	3	"Kaiser, Walter"
534408427	 Physics for Scientists and Engineers With Infotrac	3	"Kakar, Sudhir"
534408966	 Classical Dynamics of Particles and Systems	3	"Kakinouchi, Narumi"
534417930	 Mechanics of Materials With Infotrac	3	"Kako,"
534418058	 Elementary Survey Sampling	3	"Kakonis, Tom"
534418783	 A First Course In Differential Equations With Modeling Applications	3	"Kalam, Murad"
534491243	 Statistics For Management And Economics With Infotrac	3	"Kalbeck, Florian"
053449143X	 Principles Of Physics_ A Calculus-based Text	3	"Kaleb, Vjekoslav"
534492142	" Finite Mathematics For The Managerial, Life, And Social Sciences With Ilrn Tutorial"	3	"Kalfus, Ken"
534536050	 Theory and Practice of Counseling and Psychotherapy	3	"Kalidasa,"
534553818	 Life-span Human Development	3	"Kalinin, Vadim"
534554016	 An Introduction To The History Of Psychology With Infotrac	3	"Kalis, Myranda"
534558100	 Perception	3	"Kalla, Daniel"
534559867	 Advanced Nutrition and Human Metabolism	3	"Kallentoft, Mons"
534585051	 A Concise Introduction to Logic	3	"Kallish-Hill, Bo"
534589626	 Introduction to Psychology	3	"Kallman, Chester Simon"
534589898	 Nutrition Through The Life Cycle With Infotrac	3	"Kallos, Stephanie"
534590535	 Comparative Politics_ Domestic Responses To Global Challenges	3	"Kalogridis, Jeanne"
534600085	 Western Civilization With Infotrac	3	"Kalotay, Daphne"
053460725X	 Development through Life_ A Psychosocial Approach	3	"Kalpakian, Laura"
534607950	 Groups With Infotrac_ Process And Practice	3	"Kamen, Dean"
534608590	 Psychology Applied To Modern Life_ Adjustment In The 21st Century	3	"Kamen, Jack"
534618596	 Marriages And Families_ Making Choices In A Diverse Soceity With Infotrac	3	"Kamenetskaya, Maria"
534621678	 Foundations_ A Reader For New College Students With Infotrac	3	"M'Coy, Abraham"
534948847	 Unit Operations and Processes in Environmental Engineering	3	"Maalouf, Amin"
534950973	 Introduction To The Theory Of Computation	3	"Maas, L.J."
534997236	 College Physics	3	"Maas, Sharon"
053499766X	 Chemistry And Chemical Reactivity	3	"Maberry, Jonathan"
618400508	 Elementary Linear Algebra	3	"MacAdam, Alfred"
619215267	 Information Technology Project Management	3	"MacAfee, Norman"
061921743X	 Network+ Guide To Networks	3	"MacAlan, Peter"
619255749	" Microsoft Office 2003_Introductory Concepts And Techniques Word 2003, Excel 2003, Access 2003, Powerpoint"	3	"MacAlister, Katie"
716715449	 Exploring Psychology	3	"MacAllister, Archibald T."
716743396	 Lehninger Principles of Biochemistry	3	"MacAllister, Hamilton"
716743663	 Molecular Cell Biology	3	"MacAllister, Heather"
716752298	 Microeconomics	3	"MacAllister, P.J."
716752379	 Macroeconomics	3	"MacAndrew, Andrew R."
716757060	 The Developing Person Through the Life Span	3	"MacAnn, K.W."
716758814	 Basic Practice of Statistics	3	"Macao, Marshall"
716764008	 Introduction To The Practice Of Statistics	3	"Macasocol, Jr., Jose"
716764466	 Psychology	3	"Macaulay, David"
716791595	 The Developing Human Though The Life Span	3	"MacAvoy, R. A."
721601871	 Pathologic Basis of Disease	3	"MacBain, Bruce"
721602401	 Textbook Of Medical Physiology	3	"MacBeth, George"
721690033	 Oral & Maxillofacial Pathology	3	"MacBride, Alexander"
721697577	 Language of Medicine	3	"MacBride, Roger Lea"
721697739	 Physical Examination and Health Assessment	3	"MacBride, Stuart"
750661682	 Materials Selection In Mechanical Design	3	"MacCulloch, Simon"
076192261X	" Gender, Race and Class in Media_ A Text Reader"	3	"MacDonagh, Donagh"
781736390	 Clinically Oriented Anatomy	3	"MacDonald, Andrew"
805306552	 Microbial Ecology_ Fundamentals and Applications	3	"MacDonald, Ann-Marie"
805330151	" Chemistry_ An Introduction to General, Organic, and Biological Chemistry"	3	"MacDonald, Betty"
080534635X	 Molecular Biology of the Gene	3	"Macdonald, Cynthia"
805346651	 Igenetics_ A Molecular Approach	4	"MacDonald, George"
805346805	 World of the Cell	4	"Macdonald, Hector"
805347909	 Microbiology	4	"Macdonald, Ingrid"
805348301	 Elements of Ecology	4	"Macdonald, James D."
805359095	 Human Anatomy & Physiology	4	"MacDonald, Janice"
805366245	 Biology	4	"MacDonald, John D."
805368515	 Human Physiology_ An Integrated Approach	4	"X, Malcolm"
080537146X	 Biology	4	"X, Sulayman"
805371605	 Biology_ Concepts & Connections	4	"Xenophon of Ephesus,"
805372105	 Human Anatomy	4	"Xiao-yi, Bai"
805372539	 Human Anatomy & Physiology_ Cat Version	4	"Xingjian, Gao"
805372806	 Fundamentals of Anatomy & Physiology	4	"Xue, Can"
805373276	 Essentials Of Human Anatomy & Physiology	4	"Xun, Lu"
080537678X	 Microbiology With Diseases by Taxonomy	4	"Pablum, Rich"
805385665	 Optics	4	"Pacheco, José Emilio"
080538684X	 University Physics_ With Modern Physics	4	"Pachter, Josh"
805391908	 Conceptual Physics	4	"Pack, Janet"
884271781	 The Goal_ A Process of Ongoing Improvement 20th Anniversary Edition	4	"Pack, Robert"
890420254	 Diagnostic and Statistical Manual of Mental Disorders_ Text Revision	4	"Packard, Andrea"
1401860265	 Medical Terminology for Health Professions	4	"Packard, Edward"
1416000887	 Foundations of Psychiatric Mental Health Nursing_ A Clinical Approach	4	"Packard, Frank L."
1416025340	 Basic Pathology	4	"Packard, Mary"
1418835935	" Database Systems_ Design, Implementation And Management"	4	"Packer, Alfred"
1418835978	 Management Information Systems	4	"Packer, Vin"
1418836397	 C++ Programming_ From Problem Analysis to Program Design	4	"Packer, Z.Z."
1418843709	" Discovering Computers 2007_ A Gateway to Information, Complete"	4	"Pacosz, Christina"
1558606041	 Computer Organization and Design_ The Hardware/Software Interface	4	"Paddock, Nancy"
155860832X	 Computer Networks_ A Systems Approach	4	"Pade, Victoria"
1932531084	 The 10-Minute Marketer's Secret Formula_ A Shortcut to Extrordinary Profits Using Neighborhood Marketing	4	"Padgett, Abigail"
